filename,angry,sad,happy,fear,surprise,disgust,neutral,emotion
image_06637.jpg,1,0,0,0,0,0,0,angry
image_06638.jpg,1,0,0,0,0,0,0,angry
image_06639.jpg,0,0,0,0,0,1,0,disgust
image_06641.jpg,0,0,0,0,0,0,1,neutral
image_06642.jpg,0,1,0,0,0,0,0,sad
image_06643.jpg,0,1,0,0,0,0,0,sad
image_06644.jpg,0,1,0,0,0,0,0,sad
image_06646.jpg,0,0,0,1,0,0,0,fear
image_06647.jpg,0,0,0,0,0,0,1,neutral
image_06649.jpg,1,0,0,0,0,0,0,angry
image_06650.jpg,0,0,0,0,0,1,0,disgust
image_06651.jpg,0,0,0,1,0,0,0,fear
image_06653.jpg,0,0,0,0,0,0,1,neutral
image_06656.jpg,0,1,0,0,0,0,0,sad
image_06658.jpg,0,0,0,0,0,0,1,neutral
image_06659.jpg,0,0,0,0,0,1,0,disgust
image_06660.jpg,0,0,0,0,0,1,0,disgust
image_06661.jpg,0,1,0,0,0,0,0,sad
image_06662.jpg,1,0,0,0,0,0,0,angry
image_06663.jpg,0,0,0,1,0,0,0,fear
image_06665.jpg,0,1,0,0,0,0,0,sad
image_06667.jpg,0,0,1,0,0,0,0,happy
image_06669.jpg,0,0,0,0,0,0,1,neutral
image_06670.jpg,0,0,0,0,0,0,1,neutral
image_06673.jpg,1,0,0,0,0,0,0,angry
image_06674.jpg,0,1,0,0,0,0,0,sad
image_06676.jpg,0,0,0,0,0,0,1,neutral
image_06677.jpg,0,0,0,0,0,1,0,disgust
image_06679.jpg,0,0,0,0,0,1,0,disgust
image_06680.jpg,0,0,0,0,0,1,0,disgust
image_06681.jpg,0,0,1,0,0,0,0,happy
image_06682.jpg,0,0,0,0,0,1,0,disgust
image_06683.jpg,0,0,0,0,0,1,0,disgust
image_06684.jpg,0,0,0,0,0,0,1,neutral
image_06686.jpg,0,0,0,1,0,0,0,fear
image_06687.jpg,0,1,0,0,0,0,0,sad
image_06688.jpg,0,1,0,0,0,0,0,sad
image_06689.jpg,0,1,0,0,0,0,0,sad
image_06690.jpg,0,0,0,1,0,0,0,fear
image_06691.jpg,1,0,0,0,0,0,0,angry
image_06693.jpg,0,1,0,0,0,0,0,sad
image_06694.jpg,0,0,0,1,0,0,0,fear
image_06695.jpg,0,0,0,0,0,0,1,neutral
image_06696.jpg,0,0,0,1,0,0,0,fear
image_06698.jpg,0,1,0,0,0,0,0,sad
image_06701.jpg,0,0,0,0,0,0,1,neutral
image_06702.jpg,0,0,0,0,0,1,0,disgust
image_06703.jpg,0,0,0,0,0,0,1,neutral
image_06704.jpg,0,0,0,0,0,1,0,disgust
image_06705.jpg,0,0,0,1,0,0,0,fear
image_06706.jpg,0,0,0,0,0,0,1,neutral
image_06707.jpg,0,1,0,0,0,0,0,sad
image_06708.jpg,0,0,0,0,0,0,1,neutral
image_06709.jpg,0,1,0,0,0,0,0,sad
image_06710.jpg,0,0,0,1,0,0,0,fear
image_06711.jpg,0,1,0,0,0,0,0,sad
image_06712.jpg,0,1,0,0,0,0,0,sad
image_06713.jpg,0,0,0,0,0,0,1,neutral
image_06714.jpg,0,1,0,0,0,0,0,sad
image_06715.jpg,0,0,0,0,0,1,0,disgust
image_06716.jpg,0,0,0,0,0,0,1,neutral
image_06717.jpg,1,0,0,0,0,0,0,angry
image_06718.jpg,1,0,0,0,0,0,0,angry
image_06719.jpg,0,1,0,0,0,0,0,sad
image_06720.jpg,0,0,0,0,0,0,1,neutral
image_06721.jpg,0,1,0,0,0,0,0,sad
image_06722.jpg,0,0,0,1,0,0,0,fear
image_06723.jpg,1,0,0,0,0,0,0,angry
image_06725.jpg,0,0,0,1,0,0,0,fear
image_06726.jpg,0,1,0,0,0,0,0,sad
image_06728.jpg,0,0,0,0,0,1,0,disgust
image_06729.jpg,1,0,0,0,0,0,0,angry
image_06730.jpg,0,1,0,0,0,0,0,sad
image_06731.jpg,0,0,0,0,0,0,1,neutral
image_06732.jpg,0,0,0,1,0,0,0,fear
image_06733.jpg,0,0,0,0,0,0,1,neutral
image_06734.jpg,1,0,0,0,0,0,0,angry
image_06738.jpg,1,0,0,0,0,0,0,angry
image_06739.jpg,0,0,0,1,0,0,0,fear
image_06740.jpg,0,0,0,0,0,0,1,neutral
image_06741.jpg,0,0,1,0,0,0,0,happy
image_06744.jpg,0,0,0,0,0,0,1,neutral
image_06746.jpg,0,0,0,1,0,0,0,fear
image_06750.jpg,0,1,0,0,0,0,0,sad
image_06751.jpg,1,0,0,0,0,0,0,angry
image_06752.jpg,0,0,0,0,0,1,0,disgust
image_06753.jpg,0,1,0,0,0,0,0,sad
image_06754.jpg,0,1,0,0,0,0,0,sad
image_06755.jpg,0,1,0,0,0,0,0,sad
image_06756.jpg,1,0,0,0,0,0,0,angry
image_06758.jpg,0,0,0,1,0,0,0,fear
image_06759.jpg,0,0,0,0,0,1,0,disgust
image_06761.jpg,0,0,0,0,0,0,1,neutral
image_06764.jpg,1,0,0,0,0,0,0,angry
image_06765.jpg,0,1,0,0,0,0,0,sad
image_06766.jpg,1,0,0,0,0,0,0,angry
image_06769.jpg,0,0,0,0,0,0,1,neutral
image_06771.jpg,0,0,0,0,0,1,0,disgust
image_06772.jpg,0,1,0,0,0,0,0,sad
image_06773.jpg,0,0,0,0,0,1,0,disgust
image_06774.jpg,0,0,0,0,0,0,1,neutral
image_06775.jpg,0,1,0,0,0,0,0,sad
image_06776.jpg,0,0,0,0,0,0,1,neutral
image_06778.jpg,0,0,1,0,0,0,0,happy
image_06782.jpg,0,1,0,0,0,0,0,sad
image_06783.jpg,0,0,0,0,0,0,1,neutral
image_06784.jpg,0,0,0,0,0,1,0,disgust
image_06785.jpg,0,0,0,0,0,0,1,neutral
image_06786.jpg,0,1,0,0,0,0,0,sad
image_06787.jpg,0,0,0,1,0,0,0,fear
image_06789.jpg,0,0,0,0,0,0,1,neutral
image_06790.jpg,0,0,0,0,0,0,1,neutral
image_06792.jpg,0,0,0,0,0,0,1,neutral
image_06793.jpg,0,0,0,0,0,0,1,neutral
image_06794.jpg,0,0,0,0,0,1,0,disgust
image_06796.jpg,0,0,0,0,0,1,0,disgust
image_06797.jpg,0,0,1,0,0,0,0,happy
image_06800.jpg,0,0,0,0,0,0,1,neutral
image_06801.jpg,0,0,0,1,0,0,0,fear
image_06802.jpg,0,0,0,1,0,0,0,fear
image_06803.jpg,1,0,0,0,0,0,0,angry
image_06804.jpg,0,0,0,0,0,1,0,disgust
image_06805.jpg,0,0,0,1,0,0,0,fear
image_06806.jpg,0,0,0,0,0,1,0,disgust
image_06807.jpg,1,0,0,0,0,0,0,angry
image_06808.jpg,0,0,0,0,0,0,1,neutral
image_06809.jpg,0,0,0,0,0,0,1,neutral
image_06811.jpg,0,1,0,0,0,0,0,sad
image_06812.jpg,1,0,0,0,0,0,0,angry
image_06813.jpg,0,0,0,0,0,1,0,disgust
image_06815.jpg,0,0,0,0,0,0,1,neutral
image_06816.jpg,0,0,0,1,0,0,0,fear
image_06818.jpg,0,1,0,0,0,0,0,sad
image_06820.jpg,1,0,0,0,0,0,0,angry
image_06821.jpg,0,1,0,0,0,0,0,sad
image_06822.jpg,0,1,0,0,0,0,0,sad
image_06825.jpg,0,1,0,0,0,0,0,sad
