filename,emotion
image_06637.jpg,angry
image_06638.jpg,angry
image_06639.jpg,disgust
image_06641.jpg,neutral
image_06642.jpg,sad
image_06643.jpg,sad
image_06644.jpg,sad
image_06646.jpg,fear
image_06647.jpg,neutral
image_06649.jpg,angry
image_06650.jpg,disgust
image_06651.jpg,fear
image_06653.jpg,neutral
image_06656.jpg,sad
image_06658.jpg,neutral
image_06659.jpg,disgust
image_06660.jpg,disgust
image_06661.jpg,sad
image_06662.jpg,angry
image_06663.jpg,fear
image_06665.jpg,sad
image_06667.jpg,happy
image_06669.jpg,neutral
image_06670.jpg,neutral
image_06673.jpg,angry
image_06674.jpg,sad
image_06676.jpg,neutral
image_06677.jpg,disgust
image_06679.jpg,disgust
image_06680.jpg,disgust
image_06681.jpg,happy
image_06682.jpg,disgust
image_06683.jpg,disgust
image_06684.jpg,neutral
image_06686.jpg,fear
image_06687.jpg,sad
image_06688.jpg,sad
image_06689.jpg,sad
image_06690.jpg,fear
image_06691.jpg,angry
image_06693.jpg,sad
image_06694.jpg,fear
image_06695.jpg,neutral
image_06696.jpg,fear
image_06698.jpg,sad
image_06701.jpg,neutral
image_06702.jpg,disgust
image_06703.jpg,neutral
image_06704.jpg,disgust
image_06705.jpg,fear
image_06706.jpg,neutral
image_06707.jpg,sad
image_06708.jpg,neutral
image_06709.jpg,sad
image_06710.jpg,fear
image_06711.jpg,sad
image_06712.jpg,sad
image_06713.jpg,neutral
image_06714.jpg,sad
image_06715.jpg,disgust
image_06716.jpg,neutral
image_06717.jpg,angry
image_06718.jpg,angry
image_06719.jpg,sad
image_06720.jpg,neutral
image_06721.jpg,sad
image_06722.jpg,fear
image_06723.jpg,angry
image_06725.jpg,fear
image_06726.jpg,sad
image_06728.jpg,disgust
image_06729.jpg,angry
image_06730.jpg,sad
image_06731.jpg,neutral
image_06732.jpg,fear
image_06733.jpg,neutral
image_06734.jpg,angry
image_06738.jpg,angry
image_06739.jpg,fear
image_06740.jpg,neutral
image_06741.jpg,happy
image_06744.jpg,neutral
image_06746.jpg,fear
image_06750.jpg,sad
image_06751.jpg,angry
image_06752.jpg,disgust
image_06753.jpg,sad
image_06754.jpg,sad
image_06755.jpg,sad
image_06756.jpg,angry
image_06758.jpg,fear
image_06759.jpg,disgust
image_06761.jpg,neutral
image_06764.jpg,angry
image_06765.jpg,sad
image_06766.jpg,angry
image_06769.jpg,neutral
image_06771.jpg,disgust
image_06772.jpg,sad
image_06773.jpg,disgust
image_06774.jpg,neutral
image_06775.jpg,sad
image_06776.jpg,neutral
image_06778.jpg,happy
image_06782.jpg,sad
image_06783.jpg,neutral
image_06784.jpg,disgust
image_06785.jpg,neutral
image_06786.jpg,sad
image_06787.jpg,fear
image_06789.jpg,neutral
image_06790.jpg,neutral
image_06792.jpg,neutral
image_06793.jpg,neutral
image_06794.jpg,disgust
image_06796.jpg,disgust
image_06797.jpg,happy
image_06800.jpg,neutral
image_06801.jpg,fear
image_06802.jpg,fear
image_06803.jpg,angry
image_06804.jpg,disgust
image_06805.jpg,fear
image_06806.jpg,disgust
image_06807.jpg,angry
image_06808.jpg,neutral
image_06809.jpg,neutral
image_06811.jpg,sad
image_06812.jpg,angry
image_06813.jpg,disgust
image_06815.jpg,neutral
image_06816.jpg,fear
image_06818.jpg,sad
image_06820.jpg,angry
image_06821.jpg,sad
image_06822.jpg,sad
image_06825.jpg,sad
image_06826.jpg,sad
image_06827.jpg,fear
image_06829.jpg,fear
image_06831.jpg,sad
image_06832.jpg,fear
image_06833.jpg,fear
image_06834.jpg,neutral
image_06835.jpg,neutral
image_06837.jpg,angry
image_06839.jpg,happy
image_06842.jpg,disgust
image_06843.jpg,disgust
image_06844.jpg,neutral
image_06845.jpg,fear
image_06847.jpg,fear
image_06849.jpg,sad
image_06850.jpg,fear
image_06852.jpg,angry
image_06853.jpg,sad
image_06854.jpg,disgust
image_06855.jpg,fear
image_06857.jpg,neutral
image_06858.jpg,angry
image_06859.jpg,neutral
image_06860.jpg,fear
image_06861.jpg,neutral
image_06863.jpg,happy
image_06864.jpg,fear
image_06865.jpg,happy
image_06866.jpg,neutral
image_06867.jpg,disgust
image_06868.jpg,fear
image_06869.jpg,sad
image_06871.jpg,sad
image_06872.jpg,sad
image_06875.jpg,neutral
image_06876.jpg,happy
image_06877.jpg,neutral
image_06879.jpg,disgust
image_06882.jpg,happy
image_06883.jpg,sad
image_06884.jpg,sad
image_06885.jpg,neutral
image_06886.jpg,disgust
image_06887.jpg,angry
image_06891.jpg,disgust
image_06892.jpg,fear
image_06893.jpg,sad
image_06896.jpg,fear
image_06897.jpg,angry
image_06898.jpg,disgust
image_06900.jpg,happy
image_06906.jpg,disgust
image_06909.jpg,sad
image_06911.jpg,neutral
image_06912.jpg,fear
image_06913.jpg,neutral
image_06914.jpg,fear
image_06915.jpg,angry
image_06917.jpg,neutral
image_06919.jpg,sad
image_06920.jpg,angry
image_06921.jpg,disgust
image_06922.jpg,fear
image_06923.jpg,disgust
image_06925.jpg,sad
image_06927.jpg,fear
image_06928.jpg,sad
image_06930.jpg,disgust
image_06931.jpg,neutral
image_06932.jpg,neutral
image_06933.jpg,neutral
image_06934.jpg,sad
image_06935.jpg,disgust
image_06936.jpg,angry
image_06937.jpg,neutral
image_06938.jpg,fear
image_06940.jpg,happy
image_06941.jpg,fear
image_06942.jpg,sad
image_06943.jpg,angry
image_06944.jpg,neutral
image_06945.jpg,angry
image_06947.jpg,disgust
image_06948.jpg,neutral
image_06949.jpg,sad
image_06950.jpg,sad
image_06951.jpg,angry
image_06953.jpg,fear
image_06954.jpg,disgust
image_06956.jpg,fear
image_06957.jpg,sad
image_06960.jpg,neutral
image_06961.jpg,sad
image_06963.jpg,fear
image_06964.jpg,sad
image_06965.jpg,sad
image_06966.jpg,disgust
image_06967.jpg,disgust
image_06968.jpg,disgust
image_06969.jpg,sad
image_06970.jpg,disgust
image_06972.jpg,neutral
image_06973.jpg,disgust
image_06974.jpg,neutral
image_06975.jpg,sad
image_06976.jpg,angry
image_06977.jpg,neutral
image_06978.jpg,angry
image_06979.jpg,disgust
image_06981.jpg,fear
image_06982.jpg,disgust
image_06983.jpg,happy
image_06984.jpg,disgust
image_06987.jpg,disgust
image_06988.jpg,neutral
image_06989.jpg,sad
image_06990.jpg,neutral
image_06991.jpg,fear
image_06993.jpg,fear
image_06994.jpg,sad
image_06996.jpg,sad
image_06997.jpg,sad
image_06999.jpg,angry
image_07001.jpg,angry
image_07002.jpg,neutral
image_07003.jpg,sad
image_07004.jpg,sad
image_07005.jpg,sad
image_07006.jpg,fear
image_07008.jpg,sad
image_07009.jpg,happy
image_07010.jpg,happy
image_07011.jpg,disgust
image_07012.jpg,fear
image_07014.jpg,neutral
image_07015.jpg,angry
image_07018.jpg,sad
image_07019.jpg,fear
image_07020.jpg,fear
image_07022.jpg,neutral
image_07023.jpg,sad
image_07026.jpg,fear
image_07028.jpg,neutral
image_07030.jpg,fear
image_07031.jpg,neutral
image_07032.jpg,happy
image_07033.jpg,fear
image_07036.jpg,neutral
image_07037.jpg,fear
image_07039.jpg,fear
image_07041.jpg,sad
image_07042.jpg,neutral
image_07044.jpg,sad
image_07046.jpg,neutral
image_07047.jpg,sad
image_07049.jpg,disgust
image_07050.jpg,sad
image_07051.jpg,neutral
image_07052.jpg,neutral
image_07053.jpg,neutral
image_07054.jpg,fear
image_07055.jpg,fear
image_07056.jpg,neutral
image_07057.jpg,angry
image_07059.jpg,angry
image_07060.jpg,disgust
image_07061.jpg,sad
image_07062.jpg,happy
image_07063.jpg,angry
image_07066.jpg,disgust
image_07067.jpg,fear
image_07069.jpg,neutral
image_07070.jpg,angry
image_07071.jpg,sad
image_07072.jpg,disgust
image_07073.jpg,sad
image_07075.jpg,disgust
image_07077.jpg,neutral
image_07078.jpg,fear
image_07079.jpg,sad
image_07080.jpg,happy
image_07081.jpg,neutral
image_07082.jpg,neutral
image_07084.jpg,disgust
image_07086.jpg,sad
image_07088.jpg,sad
image_07090.jpg,disgust
image_07091.jpg,neutral
image_07092.jpg,neutral
image_07093.jpg,happy
image_07094.jpg,fear
image_07096.jpg,fear
image_07098.jpg,angry
image_07100.jpg,angry
image_07101.jpg,fear
image_07102.jpg,angry
image_07103.jpg,fear
image_07104.jpg,angry
image_07106.jpg,disgust
image_07108.jpg,sad
image_07109.jpg,neutral
image_07111.jpg,happy
image_07112.jpg,disgust
image_07113.jpg,disgust
image_07115.jpg,fear
image_07116.jpg,fear
image_07117.jpg,neutral
image_07121.jpg,fear
image_07122.jpg,sad
image_07124.jpg,neutral
image_07126.jpg,fear
image_07127.jpg,disgust
image_07129.jpg,sad
image_07130.jpg,sad
image_07131.jpg,neutral
image_07134.jpg,fear
image_07135.jpg,angry
image_07136.jpg,neutral
image_07137.jpg,sad
image_07138.jpg,disgust
image_07140.jpg,fear
image_07146.jpg,sad
image_07147.jpg,fear
image_07149.jpg,neutral
image_07150.jpg,neutral
image_07151.jpg,sad
image_07152.jpg,fear
image_07154.jpg,fear
image_07155.jpg,angry
image_07156.jpg,fear
image_07157.jpg,happy
image_07158.jpg,fear
image_07159.jpg,disgust
image_07160.jpg,fear
image_07161.jpg,neutral
image_07162.jpg,disgust
image_07164.jpg,sad
image_07165.jpg,angry
image_07166.jpg,fear
image_07167.jpg,angry
image_07170.jpg,angry
image_07171.jpg,angry
image_07172.jpg,disgust
image_07173.jpg,neutral
image_07175.jpg,neutral
image_07176.jpg,sad
image_07177.jpg,sad
image_07179.jpg,sad
image_07180.jpg,angry
image_07181.jpg,fear
image_07183.jpg,fear
image_07184.jpg,sad
image_07185.jpg,angry
image_07187.jpg,sad
image_07188.jpg,sad
image_07189.jpg,fear
image_07190.jpg,neutral
image_07191.jpg,neutral
image_07192.jpg,disgust
image_07193.jpg,disgust
image_07195.jpg,fear
image_07196.jpg,sad
image_07198.jpg,angry
image_07199.jpg,neutral
image_07201.jpg,fear
image_07202.jpg,neutral
image_07203.jpg,fear
image_07204.jpg,sad
image_07205.jpg,sad
image_07206.jpg,fear
image_07207.jpg,happy
image_07209.jpg,fear
image_07210.jpg,sad
image_07211.jpg,fear
image_07212.jpg,sad
image_07213.jpg,fear
image_07214.jpg,sad
image_07215.jpg,neutral
image_07217.jpg,sad
image_07218.jpg,neutral
image_07219.jpg,neutral
image_07220.jpg,disgust
image_07221.jpg,sad
image_07222.jpg,angry
image_07223.jpg,disgust
image_07224.jpg,neutral
image_07225.jpg,happy
image_07226.jpg,angry
image_07229.jpg,fear
image_07230.jpg,angry
image_07231.jpg,sad
image_07232.jpg,neutral
image_07235.jpg,angry
image_07237.jpg,neutral
image_07238.jpg,neutral
image_07239.jpg,angry
image_07241.jpg,angry
image_07242.jpg,fear
image_07243.jpg,neutral
image_07244.jpg,fear
image_07245.jpg,sad
image_07246.jpg,sad
image_07247.jpg,fear
image_07250.jpg,fear
image_07251.jpg,disgust
image_07252.jpg,neutral
